"Indicator type","Indicator","Description"
"IPv4","218.92.0.232",""
"IPv4","187.110.238.50",""
"IPv4","162.243.168.76",""
"IPv4","103.189.234.75",""
"IPv4","147.45.157.26",""
"IPv4","103.139.192.12",""
"IPv4","117.91.186.55",""
"IPv4","139.59.253.83",""
"IPv4","186.31.95.163",""
"IPv4","143.244.150.76",""
"IPv4","143.244.150.76",""
"IPv4","101.126.71.100",""
"IPv4","36.108.172.220",""
"IPv4","46.101.89.24",""
"IPv4","81.192.46.45",""
"IPv4","81.192.46.45",""
"IPv4","176.28.201.236",""
"IPv4","123.58.210.151",""
"IPv4","14.225.192.53",""
"IPv4","176.28.201.236",""
"IPv4","68.183.88.186",""
"IPv4","68.183.88.186",""
"IPv4","123.58.210.151",""
"IPv4","42.200.78.78",""
"IPv4","179.51.153.37",""
"IPv4","42.200.78.78",""
"IPv4","179.51.153.37",""
"IPv4","94.156.112.28",""
"IPv4","167.71.223.38",""
"IPv4","27.254.163.61",""
"IPv4","134.122.23.217",""
"IPv4","117.18.15.92",""
"IPv4","196.251.84.225",""
"IPv4","196.251.84.225",""
"IPv4","223.240.116.60",""
"IPv4","45.82.121.108",""
"IPv4","74.211.100.211",""
"IPv4","188.83.65.78",""
"IPv4","14.103.111.162",""
"IPv4","91.228.127.246",""
"IPv4","14.103.122.182",""
"IPv4","121.228.31.111",""
"IPv4","64.227.143.242",""
"IPv4","185.121.0.25",""
"IPv4","2.57.122.195",""
"IPv4","130.61.145.37",""
"IPv4","93.93.118.31",""
"IPv4","193.32.162.79",""
"IPv4","182.40.196.234",""
"IPv4","23.95.128.167",""
"IPv4","49.64.242.249",""
"IPv4","2.57.122.195",""
"IPv4","117.216.143.31",""
"IPv4","2.57.122.195",""
"IPv4","221.212.228.238",""
"IPv4","210.17.230.213",""
"IPv4","218.92.0.223",""
"IPv4","218.92.0.153",""
"IPv4","183.232.230.82",""
"IPv4","103.14.49.161",""
"IPv4","218.92.0.231",""
"IPv4","218.92.0.143",""
"IPv4","218.92.0.111",""
"IPv4","2.57.122.195",""
"IPv4","218.92.0.153",""
"IPv4","2.57.122.195",""
"IPv4","103.171.85.118",""
"IPv4","218.92.0.153",""
"IPv4","185.213.174.14",""
"IPv4","51.68.126.207",""
"IPv4","196.251.84.225",""
"IPv4","196.251.84.225",""
"IPv4","190.104.25.221",""
"IPv4","185.255.91.39",""
"IPv4","218.92.0.134",""
"IPv4","211.187.29.12",""
"IPv4","2.57.122.195",""
"IPv4","218.92.0.153",""
"IPv4","218.92.0.153",""
"IPv4","185.93.89.118",""
"IPv4","89.96.189.246",""
"IPv4","14.103.117.56",""
"IPv4","103.119.92.117",""
"IPv4","103.179.57.50",""
"IPv4","111.67.196.145",""
"IPv4","103.141.208.61",""
"IPv4","218.92.0.134",""
"IPv4","193.32.162.133",""
"IPv4","197.253.54.22",""
"IPv4","128.199.70.247",""
"IPv4","134.209.118.42",""
"IPv4","45.119.212.196",""
"IPv4","165.232.188.94",""
"IPv4","192.227.248.232",""
"IPv4","2.99.213.232",""
"IPv4","52.146.1.52",""
"IPv4","118.193.61.63",""
"IPv4","218.92.0.221",""
"IPv4","209.143.72.134",""
"IPv4","218.92.0.219",""
"IPv4","218.92.0.198",""
"IPv4","218.92.0.228",""
"IPv4","2.57.122.191",""
"IPv4","218.92.0.217",""
"IPv4","218.92.0.198",""
"IPv4","92.118.39.73",""
"IPv4","92.118.39.76",""
"IPv4","92.118.39.76",""
"IPv4","92.118.39.76",""
"IPv4","193.32.162.130",""
"IPv4","92.118.39.73",""
"IPv4","92.118.39.76",""
"IPv4","218.92.0.221",""
"IPv4","218.92.0.237",""
"IPv4","167.71.163.147",""
"IPv4","111.8.162.29",""
"IPv4","51.195.103.245",""
"IPv4","218.92.0.219",""
"IPv4","218.92.0.230",""
"IPv4","147.182.246.135",""
"IPv4","196.251.67.42",""
"IPv4","218.92.0.134",""
"IPv4","111.67.203.28",""
"IPv4","92.118.39.74",""
"IPv4","92.118.39.74",""
"IPv4","46.148.229.196",""
"IPv4","188.121.99.48",""
"IPv4","51.210.243.91",""
"IPv4","178.204.233.101",""
"IPv4","182.253.156.184",""
"IPv4","218.92.0.112",""
"IPv4","195.178.110.65",""
"IPv4","154.26.132.201",""
"IPv4","218.78.114.184",""
"IPv4","143.110.237.160",""
"IPv4","218.92.0.221",""
"IPv4","218.92.0.198",""
"IPv4","218.92.0.237",""
"IPv4","218.92.0.219",""
"IPv4","196.251.69.116",""
"IPv4","154.221.28.197",""
"IPv4","59.56.73.141",""
"IPv4","185.93.89.118",""
"IPv4","75.61.95.172",""
"IPv4","218.92.0.235",""
"IPv4","218.92.0.226",""
"IPv4","185.93.89.118",""
"IPv4","195.178.110.65",""
"IPv4","24.53.160.28",""
"IPv4","24.53.160.28",""
"IPv4","195.62.48.53",""
"IPv4","188.166.223.5",""
"IPv4","185.93.89.118",""
"IPv4","218.92.0.112",""
"IPv4","218.92.0.237",""
"IPv4","218.92.0.134",""
"IPv4","178.128.248.165",""
"IPv4","2.57.122.196",""
"IPv4","80.64.30.59",""
"IPv4","95.58.255.251",""
"IPv4","34.66.72.251",""
"IPv4","125.20.16.22",""
"IPv4","218.92.0.221",""
"IPv4","203.100.66.90",""
"IPv4","218.92.0.233",""
"IPv4","2.57.122.196",""
"IPv4","218.92.0.236",""
"IPv4","120.48.100.91",""
"IPv4","134.209.151.205",""
"IPv4","188.0.130.250",""
"IPv4","157.66.26.143",""
"IPv4","218.92.0.111",""
"IPv4","103.165.236.26",""
"IPv4","59.36.160.42",""
"IPv4","182.151.14.107",""
"IPv4","125.185.13.18",""
"IPv4","118.69.83.31",""
"IPv4","54.37.154.87",""
"IPv4","182.151.20.26",""
"IPv4","185.213.175.190",""
"IPv4","178.176.250.39",""
"IPv4","218.92.0.134",""
"IPv4","89.21.14.146",""
"IPv4","196.251.84.225",""
